seasonal,trend,remainder,Date
639.6503363295258,33917.853548930725,3603.246114739748,2017-08-04
-1678.9338712806623,33371.474170396454,-43.24863244912558,2017-08-05
-2330.046098941667,32825.09479186218,-2785.1736929205144,2017-08-06
313.5175775448375,32386.97709493011,-2179.3280058082782,2017-08-07
1096.9234094816782,31948.85939799804,-1483.532807479718,2017-08-08
1037.5529960109286,32113.40472623584,-303.3743889134312,2017-08-09
921.3356996802454,32277.95005447364,519.714245846113,2017-08-10
639.6503363295258,32686.321690002245,349.44464033489203,2017-08-11
-1678.9338712806623,33094.69332553085,406.90721241648134,2017-08-12
-2330.046098941667,33524.602448110716,582.985317497616,2017-08-13
313.5175775448375,33954.51157069058,-1191.8624815687508,2017-08-14
1096.9234094816782,34616.84823178296,-1957.9383079313047,2017-08-15
1037.5529960109286,35279.18489287534,503.0537777803984,2017-08-16
921.3356996802454,35832.65257138818,721.8033955982391,2017-08-17
639.6503363295258,36386.12024990102,1905.9794137694553,2017-08-18
-1678.9338712806623,36746.661316756115,1102.5642211912127,2017-08-19
-2330.046098941667,37107.20238361122,-2382.447951336224,2017-08-20
313.5175775448375,36412.545138876405,253.93728357875807,2017-08-21
1096.9234094816782,35717.8878941416,4463.688696376725,2017-08-22
1037.5529960109286,34558.58292272504,1825.9474145973654,2017-08-23
921.3356996802454,33399.27795130849,-1763.0303176554044,2017-08-24
639.6503363295258,31920.093032700242,-1438.1600356964373,2017-08-25
-1678.9338712806623,30440.90811409199,-592.3492428113277,2017-08-26
-2330.046098941667,29725.14925315806,-782.7698208830589,2017-08-27
313.5175775448375,29009.390392224126,-204.8663031022952,2017-08-28
1096.9234094816782,28642.954626070336,-1024.128035552014,2017-08-29
1037.5529960109286,28276.518859916545,-67.90518926080404,2017-08-30
921.3356996802454,27961.797219954362,2825.2420803653913,2017-08-31
639.6503363295258,27647.07557999218,-1006.2259163217059,2017-09-01
-1678.9338712806623,27728.844556561053,-1848.4523519470567,2017-09-02
-2330.046098941667,27810.61353312993,-1094.9424341882623,2017-09-03
313.5175775448375,27837.884319758603,-1598.985230636772,2017-09-04
1096.9234094816782,27865.155106387276,4313.46315079771,2017-09-05
1037.5529960109286,27753.3095030205,1112.1375009685726,2017-09-06
921.3356996802454,27641.463899653725,-674.257932667304,2017-09-07
639.6503363295258,27229.869927290147,-816.3119302863415,2017-09-08
-1678.9338712806623,26818.27595492657,-891.1337503125724,2017-09-09
-2330.046098941667,27059.600751865823,-953.6379862574868,2017-09-10
313.5175775448375,27300.925548805077,-634.3181263499137,2017-09-11
1096.9234094816782,28225.766117562238,-1099.2728603772484,2017-09-12
1037.5529960109286,29150.6066863194,-389.1180156636583,2017-09-13
921.3356996802454,30072.942074749684,1039.597225570069,2017-09-14
639.6503363295258,30995.277463179973,862.4472004905001,2017-09-15
-1678.9338712806623,31482.21312543033,1239.0957458503326,2017-09-16
-2330.046098941667,31969.14878768069,519.8139779276462,2017-09-17
313.5175775448375,32093.74119064997,-542.3004348614741,2017-09-18
1096.9234094816782,32218.33359361925,-840.7986697675951,2017-09-19
1037.5529960109286,32364.614819830982,387.7488508247552,2017-09-20
921.3356996802454,32510.89604604271,648.7265876103775,2017-09-21
639.6503363295258,33031.218070688024,-1292.0350736842192,2017-09-22
-1678.9338712806623,33551.54009533334,-1271.9395573860056,2017-09-23
-2330.046098941667,33795.24360864154,781.5108236334563,2017-09-24
313.5175775448375,34038.94712194975,2407.2019671720773,2017-09-25
1096.9234094816782,33208.90726015619,1065.085997028793,2017-09-26
1037.5529960109286,32378.867398362632,3562.1629389597765,2017-09-27
921.3356996802454,30767.256482965407,829.6161506876779,2017-09-28
639.6503363295258,29155.645567568186,-2787.587570564381,2017-09-29
-1678.9338712806623,27870.755161966023,-2339.029624018691,2017-09-30
-2330.046098941667,26585.86475636386,-1117.3603240888588,2017-10-01
313.5175775448375,26621.06795340649,-602.7938642846602,2017-10-02
1096.9234094816782,26656.271150449124,-945.902893264134,2017-10-03
1037.5529960109286,27576.217326289254,-1201.728655633513,2017-10-04
921.3356996802454,28496.16350212938,-215.87420180962727,2017-10-05
639.6503363295258,29636.316029380352,290.2419676234531,2017-10-06
-1678.9338712806623,30776.46855663132,57.6736479826759,2017-10-07
-2330.046098941667,31034.98229960377,1985.5637993378987,2017-10-08
313.5175775448375,31293.496042576215,2568.5280465456126,2017-10-09
1096.9234094816782,30510.98639436651,2258.173529485146,2017-10-10
1037.5529960109286,29728.47674615681,-261.52974216773873,2017-10-11
921.3356996802454,28698.400381068263,-1920.8194140818414,2017-10-12
639.6503363295258,27668.32401597971,-1842.5160189759044,2017-10-13
-1678.9338712806623,27044.890568625062,-416.37336401106586,2017-10-14
-2330.046098941667,26421.457121270414,1271.8389776712538,2017-10-15
313.5175775448375,26245.89595750661,42.8781316152199,2017-10-16
1096.9234094816782,26070.334793742804,-822.8832032244827,2017-10-17
1037.5529960109286,25908.113774666275,-167.12510401053441,2017-10-18
921.3356996802454,25745.892755589746,-106.72845526999299,2017-10-19
639.6503363295258,25900.13314242022,-339.49181208308073,2017-10-20
-1678.9338712806623,26054.373529250697,-337.6896579700333,2017-10-21
-2330.046098941667,26164.48044855653,-263.47601628152916,2017-10-22
313.5175775448375,26274.58736786236,868.478387926134,2017-10-23
1096.9234094816782,26295.279425612862,1265.2138315721277,2017-10-24
1037.5529960109286,26315.971483363362,-811.2744793742895,2017-10-25
921.3356996802454,26269.233853671503,-477.11122001841795,2017-10-26
639.6503363295258,26222.49622397964,-118.8965603091674,2017-10-27
-1678.9338712806623,26290.112170316148,-386.5532990354841,2017-10-28
-2330.046098941667,26357.72811665266,577.9846489556767,2017-10-29
313.5175775448375,26471.074055904464,1.700033217366581,2017-10-30
1096.9234094816782,26584.419995156273,-518.8017379712837,2017-10-31
1037.5529960109286,26582.531255617316,891.3740817050893,2017-11-01
921.3356996802454,26580.642516078362,76.64678424139129,2017-11-02
639.6503363295258,26658.539094685468,-367.1894310149946,2017-11-03
-1678.9338712806623,26736.435673292577,-695.2934686785811,2017-11-04
-2330.046098941667,26976.12213452492,-8.409368916585663,2017-11-05
313.5175775448375,27215.808595757262,-439.90950663543117,2017-11-06
1096.9234094816782,27794.725846784826,-90.31592293317226,2017-11-07
1037.5529960109286,28373.64309781239,20.720572843350965,2017-11-08
